sentence,txtCheat,cheat,cheating,betray,betrayal,lie,lying,affair,unfaithful,infidelity,deception,dishonesty,adultery,trust,secrets,manipulation,hidden,suspicion,guilt
"The film's events revolve around an engineer in a textile factory who has union activity and falls in love with his colleague in the factory. He tries to win the love of this girl and also the union in the factory, but the girl rejects him. The engineer asks his father to propose to the girl, but his father rejects this girl.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIRAGE is about a old man, Jefe, who has a cult-like hold on his household of wayward, homeless new-age women, whoever Mike, his 20 year old henchman, can pick up at local bars and cafés in Santa Fe, NM and bring back to the adobe. Homelife starts disintegrating when a Native American woman, Lisa, falls in love with a Native American drifter, Freddie. Music from underground Chicago (Ill Ben, .org, Murlot, Jo-Fixxx-it, Saykay), Memphis (David Rookings, Olga, and Bluff City Backslides/Don MacGregor), and Santa Fe (Alex Maryol, Jonathan Grossman, Blood Drained Cows) supplies an energy pack, propelling the lovers forth toward their breakout finale.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Karmina, a young vampire (only 140 years old) flees her Translylvanian castle where she must marry the horrible Vlad to please her father, the mean Baron, and her mother, the eccentric Baronness. Karmina finds refuge in Quebec at the home of her aunt Esméralda, an older vampire who lives among humans thanks to a potion that temporarily transforms a vampire into one of them. Under the effect of the potion, Karmina falls in love with Phillipe, a charming church organist. But Vlad, the Baron and the Baronness soon show up in pursuit of her and turn a poor customs officer, Ghislain Chabot, into a vampire to aid them in retrieving her. Esméralda must become the great vampire of yesteryear to fly to the aid of the lovers.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alone on the moon, a dying astronaut faces his past regrets and lost love as the earth sets over the horizon.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Love and jealousy in a female public school. Most of the co-eds are in love with professor La Rovere. One, Anna, accuses Maria to have an affair with him.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"A young woman wants to get her boyfriend to commit to her, but the most she can get him to do is exchange apartment keys.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In the remote Southern Cross Island, a secret organization named The Glittering Crux plans to reactivate giant machines that have been sealed for ages. Known as Cybodies, they can only be controlled by pilots identified as Star Drivers. To unleash their full power, the mysterious group must break the seals of the four shrine maidens that reside in the isle. Recently arrived outsider Takuto Tsunashi vows to stop the Glittering Crux in order to protect Wako Agemaki, the girl who saved his life and is one of the four maidens. Wako is a lively young lady who has already been betrothed to Sugata Shindou, a rich and talented childhood friend. Despite being very close to Agemaki, Sugata quietly disapproves of this engagement since it was forced on them due to a family tradition. The melancholic couple becomes a radiant trio as Takuto becomes not only their friend but protector of the seals since he is none other than the Galactic Pretty Boy, gifted Star Driver of Tauburn, the 22nd Cybody.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Three bachelors live in one apartment. Eugene, a novice writer, his father Konstantin Alekseevich and uncle Grisha. The elders are incredibly preoccupied with the future of the young writer - the latter lives in his imaginary world and is very poorly prepared for the ""real"" life.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Manhattan ad agency boss, John Holiday, entrusts Lauren to deliver the big pre-holiday client pitch, but only winds up annoying her when she’s teamed up with a European consultant. To Lauren's surprise, this consultant turns out to be the handsome Prince Edward of Candashire, masquerading as his consultant pal to escape his royal duties for an incognito American Christmas.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Botanist Jenny fled her small town and cruel high school popular couple Shane and Allison to track rare flowers around the globe. Now back, she’s shocked to find Shane has become the local guidance counselor, and even more surprised when he’s determined to make it up to her",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The film centers around Alicia and Arnold’s picture-perfect marriage, but underneath the surface, there is something amiss. Arnold is ready to grow their family, but Alicia is hesitant to the idea. Rather than face the problem head on, Alicia, the self-proclaimed ""love doctor,"" immerses herself in her divorced parents, Jack and Brenda’s, dating affairs by setting them each up on a blind date dating app.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wallace D. Popple is having a bad day. Today, life kicks Wallace D. Popple in the balls... Literally. The narrator chronicles Wallace’s pitiful existence in the corporate mincer against a backdrop of painful mishaps and begs the question; Is Wallace’s luckless day just desserts for a spineless existence in a job he despises? Within this off-kilter tale about happiness lies a twist for the twisted.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"When Sangchan and Rawee meet and fall in love the day before he leaves to study abroad, he promises to return on October 8th of every year to see her. As the years pass and new relationships arise, Sangchan's faith in their love is tested.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fresh off a recent break-up, a woman catches an early menopause, but manages to heal herself mentally and physically through a new love.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An unemployed man saves a rich woman and takes her to the hospital where her relatives mistake him as her husband. He plays along as he needs money to repay a loan.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Remake of the tale of an acclaimed matador who finds himself involved with a beautiful woman, jeopardizing both his marriage and career.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sheser Golpo is an Indian Bengali romantic drama film directed by Jiit Chakraborty. The film stars Soumitra Chatterjee as 'Amit Ray' and Mamata Shankar as 'Labanya', in the lead roles. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Three teenagers look for village girls to have temporary marriages or a ""marriage by contract"". They are well prepared with Cialis, Viagra, and even rubber bands. Jody, who likes older women, has a ""marriage by contract"" with Teh Euis, a pretty widow with one child. Dika, who likes it rough, has a ""marriage by contract"" with Rani who is tough at hitting mattresses when cleaning it, while Rama, who is very picky, is head over heels with Isa’s gentleness and natural beauty. But there is still a long way to go before their mission (to have sex) is accomplished. The sexy Teh Euis always comes up with ridiculous reasons at the ""critical"" moments while Rani’s feistiness hides a secret; and Isa’s gentleness is threatened by a wicked plan. It is a comic and sensual adventure and the three ""heroes"" find the feeling that has been behind their raging hormones: love.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A schizophrenic romantic tracks down her college sweetheart to help her find their son she gave up for adoption sixteen years ago to the dismay of his new wife.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A writer who was disabled during the Korean War is now contributing a serial to a newspaper. His wife, who once adored him, is tempted by a young man she happens to know. But he overlooks her affair thanking her for her utmost care up until that time. Then the young man asks her to leave with him for a faraway place.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Filmmaker Ricardo Trogi recalls the events surrounding his family moving to a new neighborhood when he was 11 years old.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abel Mason is a man caught in a loveless marriage with a harridan wife who constantly berates him and beats their son Dick. When the one woman he loves dies at the hands of her husband after he was sent a letter by Mason's wife, exposing the affair, Abel leaves her for good taking to the road and young Dick with him.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A girl from church meets a wanderer who she begins to pity. She wishes to do everything for him and he expresses his anger for through world with her. The man's childhood friend soon discovers his secrets and wishes to steal them.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Kenny is an ice cream vendor in Chicago with a crisp white uniform and an apathetic heart. When he encounters Lolita, a sharp-tongued but despondent insurance actuary, their heated conversation, natural spark and mutual hopelessness lead to an unusual proposal for a meet-cute: to travel to San Francisco, where they will jump off the Golden Gate Bridge together.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katie gets dumped right before Christmas and gets on a dating app determined to never spend another Christmas alone! But it will take more than an app and the advice of friends to help this girl find true love. It'll take a Christmas Miracle!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A woman wants to graduate to the Italian Naval Academy in the 60s. She has to fight her family, her friends and a world not ready to accept her.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Everything in life happens for a reason."" After the death of his pregnant wife, Schimon clings to this sentence. When he meets Milena just two weeks later and falls head over heels in love with her, he thinks he's found the reason.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lesbian romantic comedy about two girls entering a figure skating competition at the Gay Games in New York 1994. Steffi, an ambitious photographer and previously straight Natalie win the gold medal for Britain.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It is a positive and optimistic story of two thirty-something people who are made for each other, Matylda and Bartek, who are needing and looking for love and closeness, but who are constantly missing each other in the course of their lives.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"After receiving a blood test result and learning the name of his soul mate, Jon, a nerdy high school boy goes to confess his love for his high school crush and friend, Vio, a tomboy teen girl, despite not being each other's chosen soulmates. They both begin an unlawful relationship. At the end of the school year near the Vio's supposed marriage with her soulmate, she suggests for them to run away together, but Jon is hesitant, very much aware of the government's regulation against choosing your own partner.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stockholm, Sweden. A warm summer night is torn apart by flashing lights and loud music. Trembling air full of hopes and expectations. Four people end up at the same place for the same reason, because the night.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"When Johnny is released from prison following a forgery charge, he quickly lands a job as a short-order cook at a New York diner. Following a brief fling with waitress Cora, Frankie develops an attraction for Cora's friend and fellow waitress Frankie. While Frankie resists Johnny's charms initially, she eventually relents when her best friend, Tim, persuades her to give Johnny a chance.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Based upon an urban legend of 2 rivalling bak kwa shops, ""Hao Han Bak Kwa"" and ""Mei Mei Bak Kwa"". The founders of these two stores however, Zeng Mei Mei (Irene Ang) and Chen Hao (Ha Yu), used to be lovers, yet, turned against each other for their own personal, selfish reasons. While the two engage in a battle to win a bak kwa competition, their children get engulfed in a complex relationship with one another... And there begins the story of the bak kwa war!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"When new author Cassie is paired with successful author Elliot on a promotional book tour, she learns to believe in her talent. She also finds truth in the old adage “you can’t judge a book by its cover” as she falls for the guy she once thought to be pompous and full of himself.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It's a story about a girl who becomes a student at Eitoku Gakuen, the institute for very rich people. She is faced with four of the most powerful and rich guys at school who call themselves F4.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The soldier and the tracklayer Valya corresponded for more than a year. The girl said in her letters that she allegedly worked as a teacher and tried to “appropriate” qualities that she did not have, although in reality she was a sweet, good person. As a result, the soldier who came to Valya never recognized her, and Valya was ashamed to admit her deception...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A bereaved man takes a job at a health care center, where he befriends an elderly and embittered woman - and as time passes, he becomes obsessed with reuniting her with her long-lost true love.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"After striking gold in Alaska, the romantic George sends his womanizing partner Sam to bring his fiancée up from Seattle. When Sam finds that she has already married, he returns instead with Angel, a dancer originally from France.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"While recovering from heartbreak, a screenwriter finds new inspiration when she makes an unexpected connection with a man via an old walkie-talkie.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In the sequel of ""In ginocchio da te"", the engagement of Gianni and Carla is threatened by Giorgio.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In the middle of the night, someone brings Ivan's body home to his wife and his young son. Flashbacks reveal the relationships among Ivan and his brother Alex, a cop with a cleanliness fetish; siblings Juliette and Jimmy, Ivan's partners in a seedy nightclub; the love triangle of Alex, Juliette, and Marie, a professor of philosophy; and of Alex and his nephew, Ivan's dour, stoic son. Ivan's death changes every relationship.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thangarasu, a goldsmith's son, and Poonkuruvi, a gypsy and poultry seller, fall in love during the era of British rule. However, Thangarasu soon attracts the affections of a young English lady.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On his first weekend parole alfer five years in prison, Mark Rodriguez witnesses the armed robbery of a security van. His brothers critical situation and his own feelings of remorse will lead him to take desperate measures. His only help will be a young and attractive stripper he met the night before.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A young girl falls in love with a young conductor in Vienna, and they marry. However, their marriage is threatened by a wealthy man.....",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aurelio Rodríguez is released from jail, and tries to start a new life marrying Paloma and working his land. But the local landowners, the brothers González, interfere with his plans.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"When the plans for the future change, new bonds are created between Danilo, Lucas and Marcos. in between video-games and milk cups, pain and disappointment, they need to learn how to live together.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The children of the Salazar family have been pursuing separate lives in the recent years. After a few years of not being together as a whole family, they find themselves reuniting when CJ announces his plan to marry Princess, his girlfriend for three months. Much to their shock and dismay, CJ's sisters come together for the wedding and have agreed to dissuade him from marrying his fiancée.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kleptomaniac Sonoko and young, beautiful Mitsuko begin an unusual love affair which develops fast into a kinky sexual love triangle when Sonoko’s husband gets involved.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
