NOM,PRENOM,id,name,description,link,pstrN,pstrNF,pstrNH,pstrVisages,pstrContact,txtMarr,txtCheat,txtDivorce,txtRelAvant,txtRelPendant,love
ALAOUI BOUHAMID,Sara,1026220,Prelude to a Kiss,"A couple fall in love despite the girl's pessimistic outlook. As they struggle to come to terms with their relationship, something supernatural happens that tests it.",https://a.ltrbxd.com/resized/film-poster/5/0/1/8/9/50189-prelude-to-a-kiss-0-230-0-345-crop.jpg?v=1465c6b676,2,1,1,1,1,0,0,0,0,1,2
ALAOUI BOUHAMID,Sara,1596202,Three Pals,The daughter of a Kentucky colonel returns from her European finishing school to help prove his innocence as he is accused of killing a major with whom he had a feud over money.,https://a.ltrbxd.com/resized/film-poster/1/1/0/8/1/3/3/1108133-three-pals-0-230-0-345-crop.jpg?v=ebab6734ef,2,1,1,0,0,0,0,0,0,0,0
ALAOUI BOUHAMID,Sara,1390291,I Want to Understand,The film is about parents who wanted to build the house and gather together with their children in the house.,https://a.ltrbxd.com/resized/film-poster/4/6/2/1/5/0/462150-i-want-to-understand-0-230-0-345-crop.jpg?v=bee2ad10bf,2,1,1,0,0,0,0,0,0,0,0
ALAOUI BOUHAMID,Sara,1111149,The Christmas Cabin,"When Seth unknowingly interrupts Sammi's quiet holiday getaway at her family cabin, their hearts get more than they bargain for; The Christmas Cabin is a romantic comedy about finding unexpected love with a little help from the Christmas season.",https://a.ltrbxd.com/resized/film-poster/5/7/4/0/0/2/574002-the-christmas-cabin-0-230-0-345-crop.jpg?v=3fdd5ef444,2,1,1,0,0,0,0,0,0,1,2
ALAOUI BOUHAMID,Sara,1169868,Love Stories in Sunflower Valley,"Kate Francis has been a loyal assistant at a Seattle newspaper for the past five years. When one of her story ideas finally gets accepted, the assignment takes her back to her charming hometown of Sunflower Valley.",https://a.ltrbxd.com/resized/film-poster/7/1/3/4/8/6/713486-love-stories-in-sunflower-valley-0-230-0-345-crop.jpg?v=8ac5af8867,2,1,1,0,1,0,0,0,0,0,2
ALAOUI BOUHAMID,Sara,1106931,Hara Kiri,"A punk infused love story of two street skaters, August and Beto, and their last day on earth: they're gonna end it.",https://a.ltrbxd.com/resized/film-poster/3/5/7/6/6/4/357664-hara-kiri-0-230-0-345-crop.jpg?v=69f120e5e8,2,0,2,0,0,0,0,0,0,1,2
ALAOUI BOUHAMID,Sara,1019867,Wedding Trough,"A mad farmer falls in love with his pig and has mutant piglets with it. When the ""piglets"" prefer their mother over him, he hangs them all and the sow kills herself.",https://a.ltrbxd.com/resized/film-poster/2/8/3/6/1/28361-wedding-trough-0-230-0-345-crop.jpg?v=5ad885949a,1,0,1,0,0,0,0,0,0,1,2
ALAOUI BOUHAMID,Sara,1121728,No Budget Story,"In order to secure money for the production of his first film, a young man asks help from a film producer. The producer, however, was involved with pornographic films, and now his main business is drug dealing. The young director will have to become a drug runner in order to get the money he needs for his film",https://a.ltrbxd.com/resized/film-poster/1/8/1/5/2/18152-no-budget-story-0-230-0-345-crop.jpg?v=2f444ee910,2,0,2,0,0,0,0,0,0,0,0
ALAOUI BOUHAMID,Sara,1192468,The Christmas Project Reunion,"An awkward high school boy is forced to break out of his shell, when his elementary school nemesis moves back into town and tries to steal his girlfriend.",https://a.ltrbxd.com/resized/film-poster/6/8/6/5/3/2/686532-the-christmas-project-reunion-0-230-0-345-crop.jpg?v=35669bf1dc,9,2,7,0,0,0,0,0,0,0,1
ALAOUI BOUHAMID,Sara,1344476,Veera,"Two friends, who aspire to take control of things in their locality, face a series of issues when they take up an assignment involving kidnapping a politician’s daughter.",https://a.ltrbxd.com/resized/film-poster/3/4/5/5/5/5/345555-veera-0-230-0-345-crop.jpg?v=3383175d91,6,5,1,0,0,0,0,0,0,0,0
ALAOUI BOUHAMID,Sara,1048063,In Bed,"It all begins at a party in Santiago, Chile, when a seemingly innocent gesture -- the offer of a ride home -- ends in a passionate night of lovemaking and intense conversation for young singles Bruno and Daniela. Shacked up at a flea-bitten motel for a one-night stand, the pair lingers deep into the night, alternating between powerful physical encounters and an ever-deepening emotional connection.",https://a.ltrbxd.com/resized/film-poster/4/9/9/2/6/49926-in-bed-0-230-0-345-crop.jpg?v=8fb9f89ff9,2,1,1,0,1,0,0,0,0,1,2
ALAOUI BOUHAMID,Sara,1011807,The Cooler,"Bernie works at a Las Vegas casino, where he uses his innate ability to bring about misfortune in those around him to jinx gamblers into losing. His imposing boss, Shelly Kaplow, is happy with the arrangement. But Bernie finds unexpected happiness when he begins dating attractive waitress Natalie Belisario.",https://a.ltrbxd.com/resized/film-poster/4/5/9/3/7/45937-the-cooler-0-230-0-345-crop.jpg?v=15aae69f6d,1,0,1,0,0,0,0,0,0,1,2
ALAOUI BOUHAMID,Sara,1194753,Worry World,"A young factory worker forever dreams in colour of escape from a black-and-white world, where one’s every thought is on display. Until she meets someone who dreams in colour too…",https://a.ltrbxd.com/resized/film-poster/1/0/3/9/7/2/7/1039727-worry-world-0-230-0-345-crop.jpg?v=1037ae7bc8,1,0,1,0,0,0,0,0,0,0,1
ALAOUI BOUHAMID,Sara,1251448,Can I Buy Your Love from a Vending Machine?,"Salaryman Ayumu Koiwai just can't tear his eyes away from the strong, muscular man as he checks on the stocks of the vending machine in his office. He may be a proper adult now, but everything about the emotions Yamashita awakens in him feels like a teenager's first love...",https://a.ltrbxd.com/resized/film-poster/1/0/4/1/7/7/9/1041779-can-i-buy-your-love-from-a-vending-machine--0-230-0-345-crop.jpg?v=d9f144ef07,6,0,6,0,0,0,0,0,0,0,1
ALAOUI BOUHAMID,Sara,1615395,I Beautiful,"This film is about true friendship like one of the most beautiful qualities of true friendship is to understand and be understood. A real friend is one who walks in when the rest of the world walks out. Friends are the siblings God never gave us. A friend is someone who knows all about you and still loves you. This is the debutant directorial of Saalim Siddiqui and he tried to give his best in this first short film. ""Tu jo mila"" is the first short film of actor/model Daniel K & Rishabh GuptaThanks to the Smt Neelam Aggarwal for her support and guest appearance for this beautiful short film.",https://a.ltrbxd.com/resized/film-poster/7/2/4/5/8/9/724589-i-beautiful-0-230-0-345-crop.jpg?v=2033297b72,4,0,4,1,1,0,0,0,0,0,0
ALAOUI BOUHAMID,Sara,1159052,History of Cinema in Popielawy,"The story is narrated by ten-year old Staszek, who writes in his diary about his school-friend Jozef. Jozef comes from a family of blacksmiths, all of whom bear the name Jozef. Since he is the sixth consecutive son to be called Jozef, he is nicknamed Szustek (meaning ""sixth one"").",https://a.ltrbxd.com/resized/film-poster/1/1/7/6/2/7/117627-history-of-cinema-in-popielawy-0-230-0-345-crop.jpg?v=de9ad33c57,2,1,1,0,1,0,0,0,0,0,0
ALAOUI BOUHAMID,Sara,1003151,Dear John,"While Sergeant John Tyree is home on two weeks leave from Germany, he meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off a pier. John eventually falls in love with Savannah, who promises to write to him until he returns from overseas.",https://a.ltrbxd.com/resized/film-poster/3/7/5/9/7/37597-dear-john-0-230-0-345-crop.jpg?v=89d28b9aef,2,1,1,0,1,0,0,0,0,1,2
ALAOUI BOUHAMID,Sara,1699637,The Signpost to Destiny,"Many myths, stories and traditions are associated with the lime tree, going back to the Middle Ages, Celtic times and as far back as Ancient Greece. In Russia, the story goes, that on discovering his lover's infidelity, landowner Pavel Kazantsev was so heartbroken that he could not forgive Anastasia's disloyalty and buried her alive. He planted a lime tree to mark the spot where she lay, and years later villagers still go to the tree to ask Anastasia for help, particularly in affairs of the heart. Marina is the wife of a successful businessman also coincidentally called Pavel Kazantsev. One day, after a family quarrel, Pavel takes Marina to their country house where she discovers that Oleg has a lover - Anastasia. Marina soon learns about the legend of Anastasia's tree from the local villagers. The coincidence with names is disturbing, but a worse discovery is still to come.",https://a.ltrbxd.com/resized/film-poster/5/4/5/7/3/5/545735---0-230-0-345-crop.jpg?v=5de046fa26,1,1,0,0,0,0,1,0,0,0,1
ALAOUI BOUHAMID,Sara,1074493,Born in '45,"Originally banned in 1966, East German director Jürgen Böttcher's tale of love and disillusionment among two newlyweds attempting to navigate the treacherous world of marriage was never officially released in his homeland until after reunification in 1990.",https://a.ltrbxd.com/resized/film-poster/1/3/9/6/7/5/139675-born-in-45-0-230-0-345-crop.jpg?v=9dc4086330,2,1,1,1,1,0,0,0,1,0,2
ALAOUI BOUHAMID,Sara,1231765,Weird Is Who's Not Weird,"Alex feels atracted to Samuel, and even though his best friend warns him he has a girlfriend, something makes him think he is not that indifferent.",https://a.ltrbxd.com/resized/film-poster/3/7/5/3/2/1/375321-weird-is-who-s-not-weird-0-230-0-345-crop.jpg?v=872f7b0710,2,1,1,0,1,0,0,0,0,0,2
ALAOUI BOUHAMID,Sara,1005060,Sliding Doors,"London publicist Helen, effortlessly slides between parallel storylines that show what happens when she does or does not catch a train back to her apartment. Love. Romantic entanglements. Deception. Trust. Friendship. Comedy. All come into focus as the two stories shift back and forth, overlap and surprisingly converge.",https://a.ltrbxd.com/resized/sm/upload/sv/dq/bd/hi/sliding-doors-poster-artwork-gwyneth-paltrow-john-hannah-john-lynch-0-230-0-345-crop.jpg?v=9133e889dc,4,2,2,0,0,0,1,0,0,1,2
ALAOUI BOUHAMID,Sara,1057272,Love Off the Cuff,"Shawn Yue and Miriam Yeung reprise their popular roles as a star-crossed couple who strive to stay together happily ever after, only to find their already precarious relationship further strained, when Jimmy’s childhood friend asks him to donate sperm, and Cherie is troubled by the re-marriage of her father.",https://a.ltrbxd.com/resized/film-poster/3/8/0/2/5/1/380251-love-off-the-cuff-0-230-0-345-crop.jpg?v=c83c08be9a,2,1,1,0,0,0,0,0,1,0,2
ALAOUI BOUHAMID,Sara,1435851,Daredevils of the Clouds,"Terry O'Rourke, an American operating a small airline in Canada, is having a tough time making a go of it; he has to cope with unfavorable weather conditions, a rocky terrain, and a large Americam company determined to buy him out at their low price. In addition, one of his primary employees is working against him. One of his airplanes is transporting a cargo of gold and the pilot arranges for the gold to be stolen. He planned to parachute to safety, letting the airplane be looted when it crashed, but a co-worker cuts his parachute cord and he is killed. O'Rourke, with the air of one of his best pilots, Kay Cameron, sets out to track down the culprits.",https://a.ltrbxd.com/resized/film-poster/7/5/6/8/7/4/756874-daredevils-of-the-clouds-0-230-0-345-crop.jpg?v=878ea666bb,3,0,3,0,0,0,0,0,0,0,0
ALAOUI BOUHAMID,Sara,1371561,Naandi,A married couple with hearing impairment undergoes highs and lows in their lives as they endeavour to survive in a society which is not very friendly to them,https://a.ltrbxd.com/resized/film-poster/2/3/2/8/2/1/232821-naandi-0-230-0-345-crop.jpg?v=1740dd44f8,3,2,1,0,0,0,0,0,1,0,2
ALAOUI BOUHAMID,Sara,1083495,Malombra,Marina di Malombra (Borelli) lives in a castle prior to her wedding. She begins to read letters written by an ancestor called Cecilia. She finds out that Cecilia was driven to her death by her uncle. Marina identifies with Cecilia and take revenge on her behalf by murdering her uncle.,https://a.ltrbxd.com/resized/film-poster/1/3/7/4/1/5/137415-malombra-0-230-0-345-crop.jpg?v=978b4c1458,0,0,0,0,0,1,0,0,0,0,0
ALAOUI BOUHAMID,Sara,1264909,Puthu Kavithai,"Anand is a motocycle champion for six years in a row. Winning the championship brings him the introduction of Uma, the daughter of Thilakavathy - a haughty, rich woman. Uma thinks Anand has a too dark complexion, but soon it turns into love. However, Thilakavathy deceives Anand and Uma into thinking that she agrees to their wedding while secretly planning to get Uma married to someone else. What transpires later forms the crux of the story.",https://a.ltrbxd.com/resized/film-poster/3/3/1/0/3310-puthu-kavithai-0-230-0-345-crop.jpg?v=1f0da7acd8,3,1,2,0,0,1,0,0,0,1,2
ALAOUI BOUHAMID,Sara,1025800,Love and Death on Long Island,"Curmudgeonly author Giles De'Ath, a widower with a marked distaste for modern popular culture, attempts to buy a ticket for a film adaptation of an E.M. Forster novel, but instead finds himself watching a tacky teen sex comedy. Yet when the beautiful Ronnie Bostock appears on the movie screen, Giles finds himself caught in a whirlwind of unanswered questions about both his own sexuality and his place in late 20th-century society.",https://a.ltrbxd.com/resized/film-poster/1/7/9/4/9/17949-love-and-death-on-long-island-0-230-0-345-crop.jpg?v=093556e50a,5,1,4,0,1,0,0,0,0,0,1
ALAOUI BOUHAMID,Sara,1661445,Turn Out the Light,Suddenly the apartments house looses light on a New Year eve... This brings the perfect opportunity to all the neighbors to meet each other.,https://a.ltrbxd.com/resized/film-poster/2/0/7/0/2070-turn-out-the-light-0-230-0-345-crop.jpg?v=4de77955c3,3,2,1,0,1,0,0,0,0,0,0
ALAOUI BOUHAMID,Sara,1045318,Soap and Water,A school janitor pretends to be a priest in order to give private lessons to a young top model.,https://a.ltrbxd.com/resized/film-poster/2/6/7/3/1/26731-soap-and-water-0-230-0-345-crop.jpg?v=43e0ce87d4,2,1,1,0,1,0,0,0,0,0,1
ALAOUI BOUHAMID,Sara,1559066,Athenian Nights,A New Year 2000 evening become vey strange for one family - thanks to the grandma.,https://a.ltrbxd.com/resized/film-poster/3/5/3/1/3531-athenian-nights-0-230-0-345-crop.jpg?v=0113d63d15,5,3,2,0,0,0,0,0,0,0,0
ALAOUI BOUHAMID,Sara,1415235,Venus of Venice,A slick caper movie about a petty thief falls for a wealthy American artist.,https://a.ltrbxd.com/resized/film-poster/4/9/5/9/5/5/495955-venus-of-venice-0-230-0-345-crop.jpg?v=c6af61f685,1,1,0,0,0,0,0,0,0,1,2
ALAOUI BOUHAMID,Sara,1563759,I Adore You,"She loved her sons more than anything in the world and did everything in her power to put them on their feet. Is it possible to understand why she kicked one of them out? Why did he leave, who knows? Because it was a shame, my heart was torn apart or because I was young? Then Sasha was 16. For twenty years, Alexander has achieved success, he is selflessly passionate about children's theater. His woman is a flamenco dancer. The money for the apartment has been collected, and life promises to get better...",https://a.ltrbxd.com/resized/film-poster/3/6/6/4/3664-ya-tebya-obozhayu-0-230-0-345-crop.jpg?v=a23336ff95,3,1,2,0,0,0,0,0,0,0,0
ALAOUI BOUHAMID,Sara,1267124,A Masterpiece in My Life,"In-gi had to abandon his dreams of becoming a serious director in order to pay off his parents' debts so to make quick money, he began to direct soft porn movies. But his dream of making a masterpiece has not died yet.",https://a.ltrbxd.com/resized/film-poster/4/1/2/3/7/8/412378-a-masterpiece-in-my-life-0-230-0-345-crop.jpg?v=008fc93bc8,2,1,1,0,0,0,0,0,0,0,0
ALAOUI BOUHAMID,Sara,1127413,Maasilamani,"Maasilamani falls in love with a woman, Divya, who dislikes him. Trouble ensues when he concocts an elaborate story about his lookalike to win her heart.",https://a.ltrbxd.com/resized/film-poster/8/9/2/9/2/89292-maasilamani-0-230-0-345-crop.jpg?v=f3d9094b21,2,1,1,0,1,0,0,0,0,1,2
ALAOUI BOUHAMID,Sara,1452702,Primavera de la vida,"A student and his love for a young woman, misunderstood by her father.",https://a.ltrbxd.com/resized/film-poster/7/7/9/0/1/9/779019-primavera-de-la-vida-0-230-0-345-crop.jpg?v=d47af62b24,2,1,1,1,1,0,0,0,0,1,2
ALAOUI BOUHAMID,Sara,1270952,"Be Mine, Mime","Alonzo, a hopeless romantic, humorously attempts to win the affection of a very imaginative mime in this mixed media short film.",https://a.ltrbxd.com/resized/film-poster/1/1/2/1/2/5/3/1121253-be-mine-mime-0-230-0-345-crop.jpg?v=8d506e6cc6,2,1,1,0,0,0,0,0,0,1,2
ALAOUI BOUHAMID,Sara,1398659,Belladonna,"Luke, a GP is about to get married to vivacious Katherine. On the surface everything is perfect, but as the wedding preparations intensify Luke is plagued by nightmares that throw him into chaos. Unable to sleep he visits a hypnotherapist. They travel down deep into Luke's subconscious mind and a mysterious world of forests, witches and fire is revealed. He attempts to reach out to Katherine but she is lost in the fever of the preparations and is blind to his disquiet. In the midst of this chaos, Amelia enters his life, she seem so familiar and something deep in him unravels",https://a.ltrbxd.com/resized/film-poster/6/5/9/8/8/65988-belladonna-0-230-0-345-crop.jpg?v=5587262c93,4,3,1,0,0,1,1,0,1,1,2
ALAOUI BOUHAMID,Sara,1022674,Overnight Delivery,"A man suspects his girlfriend of being unfaithful, so he sends her a letter, but then finds out that he was wrong. He has 24 hours to stop the package, prevent a disaster, and fall in love. The only problem is the delivery man will not stop until the package has been delivered.",https://a.ltrbxd.com/resized/film-poster/3/5/8/4/5/35845-overnight-delivery-0-230-0-345-crop.jpg?v=37aa73d006,4,2,2,0,1,0,0,0,1,0,2
ALAOUI BOUHAMID,Sara,1656233,Envelast,"Two teenagers, Anne and Dante, try to reconnect after hooking up.",https://a.ltrbxd.com/resized/film-poster/9/5/8/9/4/5/958945-envelast-0-230-0-345-crop.jpg?v=9dca34fcaf,2,1,1,1,0,0,0,0,1,0,1
ALAOUI BOUHAMID,Sara,1600443,Afternoon Encounter,"She wants a divorce, a cleaning prior to death - but he refuses. Here’s an old couple that can’t stand each other, other than as memories. The film is based on a radio play script.",https://a.ltrbxd.com/resized/film-poster/3/7/5/8/7/8/375878-meeting-in-the-afternoon-0-230-0-345-crop.jpg?v=b452c2550e,2,1,1,0,1,0,0,1,0,0,2
ALAOUI BOUHAMID,Sara,1423302,Three Things My Mother Never Told Me,"What you see, isn’t always what you  get in this Barbie and Ken Doll stop motion celebration of sex and surprise. Also starring Marie Osmond, The Bionic Woman, and The Lone Ranger.",https://a.ltrbxd.com/resized/film-poster/7/5/8/7/2/2/758722-three-things-my-mother-never-told-me-0-230-0-345-crop.jpg?v=843b441865,0,0,0,0,0,0,0,0,0,0,0
ALAOUI BOUHAMID,Sara,1069117,15 Park Avenue,"An exploration of the impact of schizophrenia on a young woman and her family in today's Calcutta. The narrative pivots around the relationship of two sisters, older sister Anjali is a successful professor with a powerful personality. She is the anchoring rock for her family and carer for her sister Meethi whose progression into schizophrenia has been speed ed up by traumatic experiences. Anjali has always dominated the life of her attractive younger sister, and jealously warded off Meethi's handsome fiancé Jojo with fear of Meethi's impending illness. Years later when Meethi and Anjali are on holiday in the Hills there is a chance meeting with Jojo, now with his new wife and children. He is shocked to discover that Meethi does not now recognize him, but lives in a world visited by an imaginary husband and children of her own.",https://a.ltrbxd.com/resized/film-poster/3/7/5/2/3/37523-15-park-avenue-0-230-0-345-crop.jpg?v=97e26ea65c,4,3,1,0,0,0,0,0,0,0,
ALAOUI BOUHAMID,Sara,1023763,Love at First Bite,"Dracula and Renefield relocate to 70's era New York in search of Cindy Sondheim, the reincarnation of Dracula's one true love, Mina Harker. ""Trouble adjusting"" is a wild understatement for the Count as he battles Cindy's psychiatrist, Jeffrey Rosenberg, a descendant of Van Helsing, who may almost certainly, possibly, may be in love with Cindy too.",https://a.ltrbxd.com/resized/film-poster/3/9/9/6/7/39967-love-at-first-bite-0-230-0-345-crop.jpg?v=db7ca6eff0,2,1,1,0,1,0,0,0,1,0,2
ALAOUI BOUHAMID,Sara,1323917,Isla,"Isla, a island maiden who has all the males, including her father, lusting after her. Her dream was to leave her primitive surroundings and find another life in the big city. However, it would not be easy. To be able to escape, she must use her body to pay off all the men who would help her.",https://a.ltrbxd.com/resized/film-poster/3/0/3/4/1/7/303417-isla-0-230-0-345-crop.jpg?v=66a6e73664,1,1,0,0,0,0,0,0,0,0,0
ALAOUI BOUHAMID,Sara,1016687,Band Baaja Baaraat,"Shruti and Bittoo decide to start a wedding planning company together after they graduate from university, but romance gets in the way of business.",https://a.ltrbxd.com/resized/film-poster/1/3/2/0/0/13200-band-baaja-baaraat-0-230-0-345-crop.jpg?v=b6ba4db79e,2,1,1,0,0,0,0,0,0,1,2
ALAOUI BOUHAMID,Sara,1709826,Hub Hataa Aleibada,"The film's events revolve around an engineer in a textile factory who has union activity and falls in love with his colleague in the factory. He tries to win the love of this girl and also the union in the factory, but the girl rejects him. The engineer asks his father to propose to the girl, but his father rejects this girl.",https://a.ltrbxd.com/resized/film-poster/1/0/6/0/9/1/1/1060911-hub-hataa-aleibada-0-230-0-345-crop.jpg?v=a7e9dcd221,2,1,1,0,1,0,0,0,0,1,2
ALAOUI BOUHAMID,Sara,1601130,Mirage,"MIRAGE is about a old man, Jefe, who has a cult-like hold on his household of wayward, homeless new-age women, whoever Mike, his 20 year old henchman, can pick up at local bars and cafés in Santa Fe, NM and bring back to the adobe. Homelife starts disintegrating when a Native American woman, Lisa, falls in love with a Native American drifter, Freddie. Music from underground Chicago (Ill Ben, .org, Murlot, Jo-Fixxx-it, Saykay), Memphis (David Rookings, Olga, and Bluff City Backslides/Don MacGregor), and Santa Fe (Alex Maryol, Jonathan Grossman, Blood Drained Cows) supplies an energy pack, propelling the lovers forth toward their breakout finale.",https://a.ltrbxd.com/resized/film-poster/6/3/7/6/7/2/637672-mirage-0-230-0-345-crop.jpg?v=1a1e1bcc35,3,3,0,0,1,0,0,0,0,1,1
ALAOUI BOUHAMID,Sara,1076798,Karmina,"Karmina, a young vampire (only 140 years old) flees her Translylvanian castle where she must marry the horrible Vlad to please her father, the mean Baron, and her mother, the eccentric Baronness. Karmina finds refuge in Quebec at the home of her aunt Esméralda, an older vampire who lives among humans thanks to a potion that temporarily transforms a vampire into one of them. Under the effect of the potion, Karmina falls in love with Phillipe, a charming church organist. But Vlad, the Baron and the Baronness soon show up in pursuit of her and turn a poor customs officer, Ghislain Chabot, into a vampire to aid them in retrieving her. Esméralda must become the great vampire of yesteryear to fly to the aid of the lovers.",https://a.ltrbxd.com/resized/film-poster/4/9/1/491-karmina-0-230-0-345-crop.jpg?v=8d3b1d4428,0,0,0,0,0,1,0,0,0,1,2
ALLAIS,Clementine,1297336,As the World Sets,"Alone on the moon, a dying astronaut faces his past regrets and lost love as the earth sets over the horizon.",https://a.ltrbxd.com/resized/film-poster/9/7/5/5/8/7/975587-as-the-world-sets-0-230-0-345-crop.jpg?v=09c6e09cf4,1,0,0,0,0,0,0,0,1,0,0
ALLAIS,Clementine,1237852,Eighteen Year Olds,"Love and jealousy in a female public school. Most of the co-eds are in love with professor La Rovere. One, Anna, accuses Maria to have an affair with him.",https://a.ltrbxd.com/resized/film-poster/1/5/8/7/5/7/158757-eighteen-year-olds-0-230-0-345-crop.jpg?v=f4b66fbe73,6,6,0,1,0,0,1,0,1,1,2
ALLAIS,Clementine,1136709,Key Exchange,"A young woman wants to get her boyfriend to commit to her, but the most she can get him to do is exchange apartment keys.",https://a.ltrbxd.com/resized/film-poster/1/7/9/0/4/1/179041-key-exchange-0-230-0-345-crop.jpg?v=f9f5637711,2,1,1,1,1,1,0,0,1,1,2
ALLAIS,Clementine,1185287,STAR DRIVER: The Movie,"In the remote Southern Cross Island, a secret organization named The Glittering Crux plans to reactivate giant machines that have been sealed for ages. Known as Cybodies, they can only be controlled by pilots identified as Star Drivers. To unleash their full power, the mysterious group must break the seals of the four shrine maidens that reside in the isle. Recently arrived outsider Takuto Tsunashi vows to stop the Glittering Crux in order to protect Wako Agemaki, the girl who saved his life and is one of the four maidens. Wako is a lively young lady who has already been betrothed to Sugata Shindou, a rich and talented childhood friend. Despite being very close to Agemaki, Sugata quietly disapproves of this engagement since it was forced on them due to a family tradition. The melancholic couple becomes a radiant trio as Takuto becomes not only their friend but protector of the seals since he is none other than the Galactic Pretty Boy, gifted Star Driver of Tauburn, the 22nd Cybody.",https://a.ltrbxd.com/resized/film-poster/1/9/5/2/6/9/195269-star-driver-the-movie-0-230-0-345-crop.jpg?v=be56e69e74,4,2,2,0,0,1,1,0,1,1,1
ALLAIS,Clementine,1733714,The Maid of Three Masters,"Three bachelors live in one apartment. Eugene, a novice writer, his father Konstantin Alekseevich and uncle Grisha. The elders are incredibly preoccupied with the future of the young writer - the latter lives in his imaginary world and is very poorly prepared for the ""real"" life.",https://a.ltrbxd.com/resized/film-poster/5/5/0/3/7/2/550372-the-maid-of-three-masters-0-230-0-345-crop.jpg?v=23246b315b,2,1,1,0,0,0,0,0,0,0,1
